ANIO,VUELTA,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,ANDREA GONZALEZ,CARLOS RABASCALL,DANIEL NOBOA AZIN,ENRIQUE GOMEZ,FRANCESCO TABACCHI,HENRY CUCALON,HENRY KRONFLE KOZHAYA,IVAN SAQUICELA,JIMMY JAIRALA VALLAZZA,JORGE ESCALA,JUAN IVAN CUEVA,LEONIDAS IZA,LUIS FELIPE TILLERIA,LUISA GONZALEZ,PEDRO GRANJA,VICTOR ARAUS,VOTOS VALIDOS,BLANCOS,NULOS,ELECTORES,SUFRAGANTES
2025,1,EC27,NORTE-AMERICA,515.0,81.0,21311,46.0,40.0,86.0,131.0,37.0,99.0,78.0,43.0,2022.0,80.0,12256,119.0,34.0,36978,294,1288,151603,38560
2025,1,EC28,"LATAM, CARIBE, AFRICA",219.0,34.0,5254,21.0,22.0,38.0,50.0,6.0,55.0,25.0,22.0,502.0,27.0,2146,36.0,15.0,8472,60,318,34415,8850
2025,2,EC01,AZUAY,,,289467,,,,,,,,,,,172137,,,461604,3026,38311,635167,502941
2025,2,EC02,BOLIVAR,,,94471,,,,,,,,,,,45055,,,139526,855,11242,179381,151623
2025,2,EC03,CANAR,,,84689,,,,,,,,,,,48521,,,133210,1062,10033,194783,144305
2025,2,EC04,CARCHI,,,74289,,,,,,,,,,,47360,,,121649,720,8506,150459,130875
2025,2,EC05,COTOPAXI,,,192869,,,,,,,,,,,115785,,,308654,1894,26958,394410,337506
2025,2,EC06,CHIMBORAZO,,,222002,,,,,,,,,,,93206,,,315208,1599,23040,421768,339847
2025,2,EC07,EL ORO,,,225059,,,,,,,,,,,204605,,,429664,2438,27002,552652,459104
2025,2,EC08,ESMERALDAS,,,157206,,,,,,,,,,,168027,,,325233,4778,25237,433155,355248
2025,2,EC09,GUAYAS,,,1326909,,,,,,,,,,,1210896,,,2537805,20841,192306,3238444,2750952
2025,2,EC10,IMBABURA,,,161949,,,,,,,,,,,144729,,,306678,1869,27660,395165,336207
2025,2,EC11,LOJA,,,210005,,,,,,,,,,,99157,,,309162,2049,14553,405742,325764
2025,2,EC12,LOS RIOS,,,244738,,,,,,,,,,,317744,,,562482,6484,49807,703901,618773
2025,2,EC13,MANABI,,,381149,,,,,,,,,,,661691,,,1042840,11023,78838,1302367,1132701
2025,2,EC14,MORONA SANTIAGO,,,74594,,,,,,,,,,,29953,,,104547,801,5170,143275,110518
2025,2,EC15,NAPO,,,61383,,,,,,,,,,,22624,,,84007,329,3461,100009,87797
2025,2,EC16,PASTAZA,,,48218,,,,,,,,,,,15730,,,63948,276,3585,82694,67809
2025,2,EC17,PICHINCHA,,,1177714,,,,,,,,,,,718540,,,1896254,7227,131846,2387550,2035327
2025,2,EC18,TUNGURAHUA,,,288915,,,,,,,,,,,78895,,,367810,1588,21227,465885,390625
2025,2,EC19,ZAMORA CHINCHIPE,,,51027,,,,,,,,,,,20617,,,71644,469,2928,92069,75041
2025,2,EC20,GALAPAGOS,,,9985,,,,,,,,,,,5372,,,15357,59,897,22603,16313
2025,2,EC21,SUCUMBIOS,,,53850,,,,,,,,,,,76018,,,129868,777,7744,162213,138389
2025,2,EC22,ORELLANA,,,58946,,,,,,,,,,,54964,,,113910,669,6464,139417,121043
2025,2,EC23,STO DGO TSACHILAS,,,171062,,,,,,,,,,,139550,,,310612,2017,21374,396558,334003
2025,2,EC24,SANTA ELENA,,,109652,,,,,,,,,,,125970,,,235622,2483,16733,280163,254838
2025,2,EC26,"EUROPA, ASIA, OCEANIA",,,63278,,,,,,,,,,,48250,,,111528,493,6338,270467,118359
2025,2,EC27,NORTE-AMERICA,,,30293,,,,,,,,,,,14882,,,45175,115,1512,151603,46802
2025,2,EC28,"LATAM, CARIBE, AFRICA",,,6899,,,,,,,,,,,2982,,,9881,15,408,34415,10304
